"sim.ID","param.name","param.stat","param.stat.val"
"SIM_my_test_sim_20241112_143048","JM","fixed_value",1e+06
"SIM_my_test_sim_20241112_143048","W.r","fixed_value",5
"SIM_my_test_sim_20241112_143048","area.m2","mean",1
"SIM_my_test_sim_20241112_143048","JL","mean",20000
"SIM_my_test_sim_20241112_143048","Ef","mean",0.521654093656689
"SIM_my_test_sim_20241112_143048","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_143048","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_143048","m","mean",0.05
"SIM_my_test_sim_20241112_143048","area.m2","sd",0
"SIM_my_test_sim_20241112_143048","JL","sd",0
"SIM_my_test_sim_20241112_143048","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_143048","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_143048","IL","sd",0
"SIM_my_test_sim_20241112_143048","m","sd",0
"SIM_my_test_sim_20241112_143048","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_143048","trait.Ef","mean",0.464749567350373
"SIM_my_test_sim_20241112_143048","trait.Ef.sd","mean",2
"SIM_my_test_sim_20241112_143048","regional.RA","mean",0.1
"SIM_my_test_sim_20241112_143048","trait.dispersal","sd",0
"SIM_my_test_sim_20241112_143048","trait.Ef","sd",0.241120440957185
"SIM_my_test_sim_20241112_143048","trait.Ef.sd","sd",0
"SIM_my_test_sim_20241112_143048","regional.RA","sd",0
"SIM_my_test_sim_20241112_143054","n.sites","fixed_value",50
"SIM_my_test_sim_20241112_143054","n.timestep","fixed_value",100
"SIM_my_test_sim_20241112_143054","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20241112_143054","nu.sim","fixed_value",0
"SIM_my_test_sim_20241112_143054","JM","fixed_value",1e+06
"SIM_my_test_sim_20241112_143054","W.r","fixed_value",10
"SIM_my_test_sim_20241112_143054","area.m2","mean",1
"SIM_my_test_sim_20241112_143054","JL","mean",20000
"SIM_my_test_sim_20241112_143054","Ef","mean",0.521654093656689
"SIM_my_test_sim_20241112_143054","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_143054","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_143054","m","mean",0.05
"SIM_my_test_sim_20241112_143054","area.m2","sd",0
"SIM_my_test_sim_20241112_143054","JL","sd",0
"SIM_my_test_sim_20241112_143054","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_143054","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_143054","IL","sd",0
"SIM_my_test_sim_20241112_143054","m","sd",0
"SIM_my_test_sim_20241112_143054","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_143054","trait.Ef","mean",0.464749567350373
